Column1;Column2;Column3
;date_of_interest;CASE_COUNT
1;02/29/2020;1
2;03/01/2020;0
3;03/02/2020;0
4;03/03/2020;1
5;03/04/2020;5
6;03/05/2020;3
7;03/06/2020;8
8;03/07/2020;7
9;03/08/2020;21
10;03/09/2020;57
11;03/10/2020;69
12;03/11/2020;155
13;03/12/2020;355
14;03/13/2020;619
15;03/14/2020;642
16;03/15/2020;1034
17;03/16/2020;2121
18;03/17/2020;2451
19;03/18/2020;2971
20;03/19/2020;3706
21;03/20/2020;4007
22;03/21/2020;2639
23;03/22/2020;2580
24;03/23/2020;3570
25;03/24/2020;4497
26;03/25/2020;4873
27;03/26/2020;5044
28;03/27/2020;5119
29;03/28/2020;3478
30;03/29/2020;3560
31;03/30/2020;6129
32;03/31/2020;5458
33;04/01/2020;5448
34;04/02/2020;5746
35;04/03/2020;5670
36;04/04/2020;3866
37;04/05/2020;3782
38;04/06/2020;6353
39;04/07/2020;6044
40;04/08/2020;5574
41;04/09/2020;5070
42;04/10/2020;4510
43;04/11/2020;3732
44;04/12/2020;2887
45;04/13/2020;3311
46;04/14/2020;4144
47;04/15/2020;3876
48;04/16/2020;3530
49;04/17/2020;3586
50;04/18/2020;2172
51;04/19/2020;2343
52;04/20/2020;3792
53;04/21/2020;3061
54;04/22/2020;3446
55;04/23/2020;2841
56;04/24/2020;2535
57;04/25/2020;1595
58;04/26/2020;1003
59;04/27/2020;2290
60;04/28/2020;2726
61;04/29/2020;2339
62;04/30/2020;2021
63;05/01/2020;1886
64;05/02/2020;1058
65;05/03/2020;787
66;05/04/2020;1549
67;05/05/2020;1512
68;05/06/2020;1397
69;05/07/2020;1238
70;05/08/2020;1079
71;05/09/2020;657
72;05/10/2020;457
73;05/11/2020;1231
74;05/12/2020;1285
75;05/13/2020;1333
76;05/14/2020;1111
77;05/15/2020;873
78;05/16/2020;485
79;05/17/2020;360
80;05/18/2020;894
81;05/19/2020;1003
82;05/20/2020;1077
83;05/21/2020;1069
84;05/22/2020;1036
85;05/23/2020;455
86;05/24/2020;467
87;05/25/2020;464
88;05/26/2020;1050
89;05/27/2020;740
90;05/28/2020;646
91;05/29/2020;638
92;05/30/2020;346
93;05/31/2020;230
94;06/01/2020;686
95;06/02/2020;570
96;06/03/2020;515
97;06/04/2020;517
98;06/05/2020;402
99;06/06/2020;247
100;06/07/2020;197
101;06/08/2020;447
102;06/09/2020;419
103;06/10/2020;363
104;06/11/2020;363
105;06/12/2020;409
106;06/13/2020;196
107;06/14/2020;180
108;06/15/2020;380
109;06/16/2020;419
110;06/17/2020;356
111;06/18/2020;378
112;06/19/2020;361
113;06/20/2020;203
114;06/21/2020;172
115;06/22/2020;402
116;06/23/2020;381
117;06/24/2020;381
118;06/25/2020;298
119;06/26/2020;317
120;06/27/2020;206
121;06/28/2020;201
122;06/29/2020;437
123;06/30/2020;442
124;07/01/2020;396
125;07/02/2020;416
126;07/03/2020;233
127;07/04/2020;120
128;07/05/2020;155
129;07/06/2020;431
130;07/07/2020;461
131;07/08/2020;437
132;07/09/2020;391
133;07/10/2020;307
134;07/11/2020;259
135;07/12/2020;223
136;07/13/2020;483
137;07/14/2020;403
138;07/15/2020;440
139;07/16/2020;411
140;07/17/2020;413
141;07/18/2020;216
142;07/19/2020;175
143;07/20/2020;404
144;07/21/2020;341
145;07/22/2020;328
146;07/23/2020;309
147;07/24/2020;299
148;07/25/2020;153
149;07/26/2020;140
150;07/27/2020;313
151;07/28/2020;313
152;07/29/2020;287
153;07/30/2020;274
154;07/31/2020;262
155;08/01/2020;189
156;08/02/2020;135
157;08/03/2020;348
158;08/04/2020;187
159;08/05/2020;298
160;08/06/2020;288
161;08/07/2020;255
162;08/08/2020;160
163;08/09/2020;133
164;08/10/2020;312
165;08/11/2020;263
166;08/12/2020;320
167;08/13/2020;276
168;08/14/2020;277
169;08/15/2020;151
170;08/16/2020;140
171;08/17/2020;333
172;08/18/2020;283
173;08/19/2020;257
174;08/20/2020;227
175;08/21/2020;252
176;08/22/2020;136
177;08/23/2020;150
178;08/24/2020;297
179;08/25/2020;283
180;08/26/2020;313
181;08/27/2020;274
182;08/28/2020;280
183;08/29/2020;128
184;08/30/2020;186
185;08/31/2020;315
186;09/01/2020;294
187;09/02/2020;271
188;09/03/2020;273
189;09/04/2020;229
190;09/05/2020;156
191;09/06/2020;207
192;09/07/2020;217
193;09/08/2020;393
194;09/09/2020;353
195;09/10/2020;323
196;09/11/2020;313
197;09/12/2020;202
198;09/13/2020;263
199;09/14/2020;461
200;09/15/2020;414
201;09/16/2020;456
202;09/17/2020;441
203;09/18/2020;292
204;09/19/2020;217
205;09/20/2020;220
206;09/21/2020;558
207;09/22/2020;497
208;09/23/2020;612
209;09/24/2020;542
210;09/25/2020;463
211;09/26/2020;280
212;09/27/2020;382
213;09/28/2020;437
214;09/29/2020;723
215;09/30/2020;606
216;10/01/2020;705
217;10/02/2020;605
218;10/03/2020;299
219;10/04/2020;335
220;10/05/2020;766
221;10/06/2020;571
222;10/07/2020;541
223;10/08/2020;526
224;10/09/2020;524
225;10/10/2020;314
226;10/11/2020;281
227;10/12/2020;515
228;10/13/2020;588
229;10/14/2020;583
230;10/15/2020;603
231;10/16/2020;504
232;10/17/2020;366
233;10/18/2020;412
234;10/19/2020;626
235;10/20/2020;601
236;10/21/2020;654
237;10/22/2020;759
238;10/23/2020;601
239;10/24/2020;386
240;10/25/2020;362
241;10/26/2020;695
242;10/27/2020;742
243;10/28/2020;782
244;10/29/2020;621
245;10/30/2020;654
246;10/31/2020;403
247;11/01/2020;501
248;11/02/2020;953
249;11/03/2020;903
250;11/04/2020;1113
251;11/05/2020;1139
252;11/06/2020;1037
253;11/07/2020;845
254;11/08/2020;788
255;11/09/2020;1545
256;11/10/2020;1598
257;11/11/2020;1539
258;11/12/2020;1502
259;11/13/2020;1494
260;11/14/2020;1025
261;11/15/2020;896
262;11/16/2020;1832
263;11/17/2020;1730
264;11/18/2020;1753
265;11/19/2020;1857
266;11/20/2020;1773
267;11/21/2020;1290
268;11/22/2020;1148
269;11/23/2020;2317
270;11/24/2020;2074
271;11/25/2020;2371
272;11/26/2020;817
273;11/27/2020;2299
274;11/28/2020;1840
275;11/29/2020;1891
276;11/30/2020;2895
277;12/01/2020;3308
278;12/02/2020;3130
279;12/03/2020;2945
280;12/04/2020;2817
281;12/05/2020;1887
282;12/06/2020;1754
283;12/07/2020;3304
284;12/08/2020;3060
285;12/09/2020;3105
286;12/10/2020;3149
287;12/11/2020;2977
288;12/12/2020;2206
289;12/13/2020;2177
290;12/14/2020;3582
